2023-05-15 22:18:27,600 INFO    StreamThr :159520 [internal.py:wandb_internal():86] W&B internal server running at pid: 159520, started at: 2023-05-15 22:18:27.599965
2023-05-15 22:18:27,601 DEBUG   HandlerThread:159520 [handler.py:handle_request():144] handle_request: status
2023-05-15 22:18:27,601 INFO    WriterThread:159520 [datastore.py:open_for_write():85] open: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221827-zu6nr83i/run-zu6nr83i.wandb
2023-05-15 22:18:27,601 DEBUG   SenderThread:159520 [sender.py:send():375] send: header
2023-05-15 22:18:27,602 DEBUG   SenderThread:159520 [sender.py:send():375] send: run
2023-05-15 22:18:27,977 INFO    SenderThread:159520 [dir_watcher.py:__init__():219] watching files in: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221827-zu6nr83i/files
2023-05-15 22:18:27,977 INFO    SenderThread:159520 [sender.py:_start_run_threads():1124] run started: zu6nr83i with start time 1684185507.599637
2023-05-15 22:18:27,977 DEBUG   SenderThread:159520 [sender.py:send_request():402] send_request: summary_record
2023-05-15 22:18:27,977 INFO    SenderThread:159520 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-15 22:18:27,978 DEBUG   HandlerThread:159520 [handler.py:handle_request():144] handle_request: check_version
2023-05-15 22:18:27,978 DEBUG   SenderThread:159520 [sender.py:send_request():402] send_request: check_version
2023-05-15 22:18:28,046 DEBUG   HandlerThread:159520 [handler.py:handle_request():144] handle_request: run_start
2023-05-15 22:18:28,051 DEBUG   HandlerThread:159520 [system_info.py:__init__():31] System info init
2023-05-15 22:18:28,051 DEBUG   HandlerThread:159520 [system_info.py:__init__():46] System info init done
2023-05-15 22:18:28,051 INFO    HandlerThread:159520 [system_monitor.py:start():181] Starting system monitor
2023-05-15 22:18:28,051 INFO    SystemMonitor:159520 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-15 22:18:28,051 INFO    HandlerThread:159520 [system_monitor.py:probe():201] Collecting system info
2023-05-15 22:18:28,051 INFO    SystemMonitor:159520 [interfaces.py:start():190] Started cpu monitoring
2023-05-15 22:18:28,051 INFO    SystemMonitor:159520 [interfaces.py:start():190] Started disk monitoring
2023-05-15 22:18:28,052 INFO    SystemMonitor:159520 [interfaces.py:start():190] Started gpu monitoring
2023-05-15 22:18:28,052 INFO    SystemMonitor:159520 [interfaces.py:start():190] Started memory monitoring
2023-05-15 22:18:28,052 INFO    SystemMonitor:159520 [interfaces.py:start():190] Started network monitoring
2023-05-15 22:18:28,062 DEBUG   HandlerThread:159520 [system_info.py:probe():195] Probing system
2023-05-15 22:18:28,063 DEBUG   HandlerThread:159520 [system_info.py:_probe_git():180] Probing git
2023-05-15 22:18:28,065 DEBUG   HandlerThread:159520 [system_info.py:_probe_git():188] Probing git done
2023-05-15 22:18:28,065 DEBUG   HandlerThread:159520 [system_info.py:probe():240] Probing system done
2023-05-15 22:18:28,065 DEBUG   HandlerThread:159520 [system_monitor.py:probe():210] {'os': 'Linux-5.19.0-40-generic-x86_64-with-glibc2.35', 'python': '3.11.3', 'heartbeatAt': '2023-05-15T21:18:28.062492', 'startedAt': '2023-05-15T21:18:27.597270', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/home/aengusl/jean72human/transformers-as-gradient-flow/exp_cifar.py', 'codePath': 'exp_cifar.py', 'git': {'remote': 'https://github.com/jean72human/transformers-as-gradient-flow.git', 'commit': 'c58799d624bc4912adc137e11a901db0e95e3717'}, 'email': 'aenguslynch@gmail.com', 'root': '/home/aengusl/jean72human/transformers-as-gradient-flow', 'host': 'bigboy', 'username': 'aengusl', 'executable': '/home/aengusl/anaconda3/envs/tgf73/bin/python3', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 3780.2901250000004, 'min': 2200.0, 'max': 3800.0}, 'cpu_freq_per_core': [{'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3703.94, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3596.35, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3649.175, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3828.964, 'min': 2200.0, 'max': 3800.0}, {'current': 3847.831, 'min': 2200.0, 'max': 3800.0}, {'current': 4813.785, 'min': 2200.0, 'max': 3800.0}, {'current': 3839.763, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}], 'disk': {'total': 356.09980392456055, 'used': 210.79473114013672}, 'gpu': 'NVIDIA GeForce RTX 3090', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3090', 'memory_total': 25769803776}], 'memory': {'total': 62.71609115600586}}
2023-05-15 22:18:28,065 INFO    HandlerThread:159520 [system_monitor.py:probe():211] Finished collecting system info
2023-05-15 22:18:28,065 INFO    HandlerThread:159520 [system_monitor.py:probe():214] Publishing system info
2023-05-15 22:18:28,065 DEBUG   HandlerThread:159520 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-05-15 22:18:28,065 DEBUG   HandlerThread:159520 [system_info.py:_save_pip():67] Saving pip packages done
2023-05-15 22:18:28,065 DEBUG   HandlerThread:159520 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-05-15 22:18:28,978 INFO    Thread-12 :159520 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221827-zu6nr83i/files/wandb-summary.json
2023-05-15 22:18:28,978 INFO    Thread-12 :159520 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221827-zu6nr83i/files/conda-environment.yaml
2023-05-15 22:18:28,978 INFO    Thread-12 :159520 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221827-zu6nr83i/files/requirements.txt
2023-05-15 22:18:29,468 DEBUG   HandlerThread:159520 [system_info.py:_save_conda():86] Saving conda packages done
2023-05-15 22:18:29,468 INFO    HandlerThread:159520 [system_monitor.py:probe():216] Finished publishing system info
2023-05-15 22:18:29,469 DEBUG   SenderThread:159520 [sender.py:send():375] send: files
2023-05-15 22:18:29,469 INFO    SenderThread:159520 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-05-15 22:18:29,472 DEBUG   HandlerThread:159520 [handler.py:handle_request():144] handle_request: stop_status
2023-05-15 22:18:29,472 DEBUG   SenderThread:159520 [sender.py:send_request():402] send_request: stop_status
2023-05-15 22:18:29,978 INFO    Thread-12 :159520 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221827-zu6nr83i/files/conda-environment.yaml
2023-05-15 22:18:29,978 INFO    Thread-12 :159520 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221827-zu6nr83i/files/wandb-metadata.json
2023-05-15 22:18:30,147 DEBUG   SenderThread:159520 [sender.py:send():375] send: telemetry
2023-05-15 22:18:30,377 INFO    wandb-upload_0:159520 [upload_job.py:push():137] Uploaded file /tmp/tmp_bck5mmrwandb/4gvn5oyn-wandb-metadata.json
