2023-05-15 22:19:15,638 INFO    StreamThr :159737 [internal.py:wandb_internal():86] W&B internal server running at pid: 159737, started at: 2023-05-15 22:19:15.638361
2023-05-15 22:19:15,639 DEBUG   HandlerThread:159737 [handler.py:handle_request():144] handle_request: status
2023-05-15 22:19:15,639 INFO    WriterThread:159737 [datastore.py:open_for_write():85] open: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221915-oe4lxusi/run-oe4lxusi.wandb
2023-05-15 22:19:15,640 DEBUG   SenderThread:159737 [sender.py:send():375] send: header
2023-05-15 22:19:15,640 DEBUG   SenderThread:159737 [sender.py:send():375] send: run
2023-05-15 22:19:15,982 INFO    SenderThread:159737 [dir_watcher.py:__init__():219] watching files in: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_221915-oe4lxusi/files
2023-05-15 22:19:15,982 INFO    SenderThread:159737 [sender.py:_start_run_threads():1124] run started: oe4lxusi with start time 1684185555.637982
2023-05-15 22:19:15,982 DEBUG   SenderThread:159737 [sender.py:send_request():402] send_request: summary_record
2023-05-15 22:19:15,982 INFO    SenderThread:159737 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-15 22:19:15,983 DEBUG   HandlerThread:159737 [handler.py:handle_request():144] handle_request: check_version
2023-05-15 22:19:15,983 DEBUG   SenderThread:159737 [sender.py:send_request():402] send_request: check_version
2023-05-15 22:19:16,050 DEBUG   HandlerThread:159737 [handler.py:handle_request():144] handle_request: run_start
2023-05-15 22:19:16,055 DEBUG   HandlerThread:159737 [system_info.py:__init__():31] System info init
2023-05-15 22:19:16,055 DEBUG   HandlerThread:159737 [system_info.py:__init__():46] System info init done
2023-05-15 22:19:16,055 INFO    HandlerThread:159737 [system_monitor.py:start():181] Starting system monitor
2023-05-15 22:19:16,055 INFO    SystemMonitor:159737 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-15 22:19:16,055 INFO    HandlerThread:159737 [system_monitor.py:probe():201] Collecting system info
2023-05-15 22:19:16,055 INFO    SystemMonitor:159737 [interfaces.py:start():190] Started cpu monitoring
2023-05-15 22:19:16,055 INFO    SystemMonitor:159737 [interfaces.py:start():190] Started disk monitoring
2023-05-15 22:19:16,056 INFO    SystemMonitor:159737 [interfaces.py:start():190] Started gpu monitoring
2023-05-15 22:19:16,056 INFO    SystemMonitor:159737 [interfaces.py:start():190] Started memory monitoring
2023-05-15 22:19:16,056 INFO    SystemMonitor:159737 [interfaces.py:start():190] Started network monitoring
2023-05-15 22:19:16,069 DEBUG   HandlerThread:159737 [system_info.py:probe():195] Probing system
2023-05-15 22:19:16,070 DEBUG   HandlerThread:159737 [system_info.py:_probe_git():180] Probing git
2023-05-15 22:19:16,072 DEBUG   HandlerThread:159737 [system_info.py:_probe_git():188] Probing git done
2023-05-15 22:19:16,072 DEBUG   HandlerThread:159737 [system_info.py:probe():240] Probing system done
