2023-05-15 22:22:43,732 INFO    StreamThr :160189 [internal.py:wandb_internal():86] W&B internal server running at pid: 160189, started at: 2023-05-15 22:22:43.732252
2023-05-15 22:22:43,733 DEBUG   HandlerThread:160189 [handler.py:handle_request():144] handle_request: status
2023-05-15 22:22:43,733 INFO    WriterThread:160189 [datastore.py:open_for_write():85] open: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222243-7cie758f/run-7cie758f.wandb
2023-05-15 22:22:43,734 DEBUG   SenderThread:160189 [sender.py:send():375] send: header
2023-05-15 22:22:43,734 DEBUG   SenderThread:160189 [sender.py:send():375] send: run
2023-05-15 22:22:44,185 INFO    SenderThread:160189 [dir_watcher.py:__init__():219] watching files in: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222243-7cie758f/files
2023-05-15 22:22:44,185 INFO    SenderThread:160189 [sender.py:_start_run_threads():1124] run started: 7cie758f with start time 1684185763.731771
2023-05-15 22:22:44,185 DEBUG   SenderThread:160189 [sender.py:send_request():402] send_request: summary_record
2023-05-15 22:22:44,185 INFO    SenderThread:160189 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-15 22:22:44,186 DEBUG   HandlerThread:160189 [handler.py:handle_request():144] handle_request: check_version
2023-05-15 22:22:44,186 DEBUG   SenderThread:160189 [sender.py:send_request():402] send_request: check_version
2023-05-15 22:22:44,254 DEBUG   HandlerThread:160189 [handler.py:handle_request():144] handle_request: run_start
2023-05-15 22:22:44,259 DEBUG   HandlerThread:160189 [system_info.py:__init__():31] System info init
2023-05-15 22:22:44,259 DEBUG   HandlerThread:160189 [system_info.py:__init__():46] System info init done
2023-05-15 22:22:44,259 INFO    HandlerThread:160189 [system_monitor.py:start():181] Starting system monitor
2023-05-15 22:22:44,259 INFO    SystemMonitor:160189 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-15 22:22:44,259 INFO    HandlerThread:160189 [system_monitor.py:probe():201] Collecting system info
2023-05-15 22:22:44,259 INFO    SystemMonitor:160189 [interfaces.py:start():190] Started cpu monitoring
2023-05-15 22:22:44,259 INFO    SystemMonitor:160189 [interfaces.py:start():190] Started disk monitoring
2023-05-15 22:22:44,260 INFO    SystemMonitor:160189 [interfaces.py:start():190] Started gpu monitoring
2023-05-15 22:22:44,260 INFO    SystemMonitor:160189 [interfaces.py:start():190] Started memory monitoring
2023-05-15 22:22:44,260 INFO    SystemMonitor:160189 [interfaces.py:start():190] Started network monitoring
2023-05-15 22:22:44,267 DEBUG   HandlerThread:160189 [system_info.py:probe():195] Probing system
2023-05-15 22:22:44,268 DEBUG   HandlerThread:160189 [system_info.py:_probe_git():180] Probing git
2023-05-15 22:22:44,271 DEBUG   HandlerThread:160189 [system_info.py:_probe_git():188] Probing git done
2023-05-15 22:22:44,271 DEBUG   HandlerThread:160189 [system_info.py:probe():240] Probing system done
2023-05-15 22:22:44,271 DEBUG   HandlerThread:160189 [system_monitor.py:probe():210] {'os': 'Linux-5.19.0-40-generic-x86_64-with-glibc2.35', 'python': '3.11.3', 'heartbeatAt': '2023-05-15T21:22:44.267978', 'startedAt': '2023-05-15T21:22:43.729281', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/home/aengusl/jean72human/transformers-as-gradient-flow/exp_cifar.py', 'codePath': 'exp_cifar.py', 'git': {'remote': 'https://github.com/jean72human/transformers-as-gradient-flow.git', 'commit': 'c58799d624bc4912adc137e11a901db0e95e3717'}, 'email': 'aenguslynch@gmail.com', 'root': '/home/aengusl/jean72human/transformers-as-gradient-flow', 'host': 'bigboy', 'username': 'aengusl', 'executable': '/home/aengusl/anaconda3/envs/tgf73/bin/python3', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 3800.3756875, 'min': 2200.0, 'max': 3800.0}, 'cpu_freq_per_core': [{'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3684.198, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 4652.919, 'min': 2200.0, 'max': 3800.0}, {'current': 3616.194, 'min': 2200.0, 'max': 3800.0}, {'current': 3585.56, 'min': 2200.0, 'max': 3800.0}, {'current': 3667.178, 'min': 2200.0, 'max': 3800.0}, {'current': 3599.962, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}], 'disk': {'total': 356.09980392456055, 'used': 210.79499053955078}, 'gpu': 'NVIDIA GeForce RTX 3090', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3090', 'memory_total': 25769803776}], 'memory': {'total': 62.71609115600586}}
2023-05-15 22:22:44,271 INFO    HandlerThread:160189 [system_monitor.py:probe():211] Finished collecting system info
2023-05-15 22:22:44,271 INFO    HandlerThread:160189 [system_monitor.py:probe():214] Publishing system info
