2023-05-15 22:24:20,976 INFO    StreamThr :160406 [internal.py:wandb_internal():86] W&B internal server running at pid: 160406, started at: 2023-05-15 22:24:20.975845
2023-05-15 22:24:20,976 DEBUG   HandlerThread:160406 [handler.py:handle_request():144] handle_request: status
2023-05-15 22:24:20,977 INFO    WriterThread:160406 [datastore.py:open_for_write():85] open: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/run-6n5hpopu.wandb
2023-05-15 22:24:20,977 DEBUG   SenderThread:160406 [sender.py:send():375] send: header
2023-05-15 22:24:20,978 DEBUG   SenderThread:160406 [sender.py:send():375] send: run
2023-05-15 22:24:21,321 INFO    SenderThread:160406 [dir_watcher.py:__init__():219] watching files in: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/files
2023-05-15 22:24:21,321 INFO    SenderThread:160406 [sender.py:_start_run_threads():1124] run started: 6n5hpopu with start time 1684185860.975505
2023-05-15 22:24:21,321 DEBUG   SenderThread:160406 [sender.py:send_request():402] send_request: summary_record
2023-05-15 22:24:21,321 INFO    SenderThread:160406 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-15 22:24:21,322 DEBUG   HandlerThread:160406 [handler.py:handle_request():144] handle_request: check_version
2023-05-15 22:24:21,322 DEBUG   SenderThread:160406 [sender.py:send_request():402] send_request: check_version
2023-05-15 22:24:21,390 DEBUG   HandlerThread:160406 [handler.py:handle_request():144] handle_request: run_start
2023-05-15 22:24:21,395 DEBUG   HandlerThread:160406 [system_info.py:__init__():31] System info init
2023-05-15 22:24:21,395 DEBUG   HandlerThread:160406 [system_info.py:__init__():46] System info init done
2023-05-15 22:24:21,395 INFO    HandlerThread:160406 [system_monitor.py:start():181] Starting system monitor
2023-05-15 22:24:21,395 INFO    SystemMonitor:160406 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-15 22:24:21,395 INFO    HandlerThread:160406 [system_monitor.py:probe():201] Collecting system info
2023-05-15 22:24:21,395 INFO    SystemMonitor:160406 [interfaces.py:start():190] Started cpu monitoring
2023-05-15 22:24:21,395 INFO    SystemMonitor:160406 [interfaces.py:start():190] Started disk monitoring
2023-05-15 22:24:21,396 INFO    SystemMonitor:160406 [interfaces.py:start():190] Started gpu monitoring
2023-05-15 22:24:21,396 INFO    SystemMonitor:160406 [interfaces.py:start():190] Started memory monitoring
2023-05-15 22:24:21,396 INFO    SystemMonitor:160406 [interfaces.py:start():190] Started network monitoring
2023-05-15 22:24:21,409 DEBUG   HandlerThread:160406 [system_info.py:probe():195] Probing system
2023-05-15 22:24:21,410 DEBUG   HandlerThread:160406 [system_info.py:_probe_git():180] Probing git
2023-05-15 22:24:21,412 DEBUG   HandlerThread:160406 [system_info.py:_probe_git():188] Probing git done
2023-05-15 22:24:21,412 DEBUG   HandlerThread:160406 [system_info.py:probe():240] Probing system done
2023-05-15 22:24:21,412 DEBUG   HandlerThread:160406 [system_monitor.py:probe():210] {'os': 'Linux-5.19.0-40-generic-x86_64-with-glibc2.35', 'python': '3.11.3', 'heartbeatAt': '2023-05-15T21:24:21.409407', 'startedAt': '2023-05-15T21:24:20.973160', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/home/aengusl/jean72human/transformers-as-gradient-flow/exp_cifar.py', 'codePath': 'exp_cifar.py', 'git': {'remote': 'https://github.com/jean72human/transformers-as-gradient-flow.git', 'commit': 'c58799d624bc4912adc137e11a901db0e95e3717'}, 'email': 'aenguslynch@gmail.com', 'root': '/home/aengusl/jean72human/transformers-as-gradient-flow', 'host': 'bigboy', 'username': 'aengusl', 'executable': '/home/aengusl/anaconda3/envs/tgf73/bin/python3', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 3816.151, 'min': 2200.0, 'max': 3800.0}, 'cpu_freq_per_core': [{'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 4498.398, 'min': 2200.0, 'max': 3800.0}, {'current': 3850.103, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 4037.185, 'min': 2200.0, 'max': 3800.0}, {'current': 3853.091, 'min': 2200.0, 'max': 3800.0}, {'current': 3982.599, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 4840.514, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 4037.098, 'min': 2200.0, 'max': 3800.0}, {'current': 4436.962, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3800.0, 'min': 2200.0, 'max': 3800.0}, {'current': 3591.363, 'min': 2200.0, 'max': 3800.0}], 'disk': {'total': 356.09980392456055, 'used': 210.79507446289062}, 'gpu': 'NVIDIA GeForce RTX 3090', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 3090', 'memory_total': 25769803776}], 'memory': {'total': 62.71609115600586}}
2023-05-15 22:24:21,412 INFO    HandlerThread:160406 [system_monitor.py:probe():211] Finished collecting system info
2023-05-15 22:24:21,412 INFO    HandlerThread:160406 [system_monitor.py:probe():214] Publishing system info
2023-05-15 22:24:21,412 DEBUG   HandlerThread:160406 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-05-15 22:24:21,412 DEBUG   HandlerThread:160406 [system_info.py:_save_pip():67] Saving pip packages done
2023-05-15 22:24:21,412 DEBUG   HandlerThread:160406 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-05-15 22:24:22,322 INFO    Thread-12 :160406 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/files/wandb-summary.json
2023-05-15 22:24:22,322 INFO    Thread-12 :160406 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/files/conda-environment.yaml
2023-05-15 22:24:22,322 INFO    Thread-12 :160406 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/files/requirements.txt
2023-05-15 22:24:22,813 DEBUG   HandlerThread:160406 [system_info.py:_save_conda():86] Saving conda packages done
2023-05-15 22:24:22,814 INFO    HandlerThread:160406 [system_monitor.py:probe():216] Finished publishing system info
2023-05-15 22:24:22,814 DEBUG   SenderThread:160406 [sender.py:send():375] send: files
2023-05-15 22:24:22,815 INFO    SenderThread:160406 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-05-15 22:24:22,817 DEBUG   SenderThread:160406 [sender.py:send():375] send: telemetry
2023-05-15 22:24:22,817 DEBUG   HandlerThread:160406 [handler.py:handle_request():144] handle_request: stop_status
2023-05-15 22:24:22,818 DEBUG   SenderThread:160406 [sender.py:send_request():402] send_request: stop_status
2023-05-15 22:24:23,253 INFO    wandb-upload_0:160406 [upload_job.py:push():137] Uploaded file /tmp/tmpio111dtywandb/sn6zqz77-wandb-metadata.json
2023-05-15 22:24:23,321 INFO    Thread-12 :160406 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/files/conda-environment.yaml
2023-05-15 22:24:23,322 INFO    Thread-12 :160406 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/files/output.log
2023-05-15 22:24:23,322 INFO    Thread-12 :160406 [dir_watcher.py:_on_file_created():278] file/dir created: /home/aengusl/jean72human/transformers-as-gradient-flow/wandb/run-20230515_222420-6n5hpopu/files/wandb-metadata.json
